parameter,value
"Total consumption",6727.17
"Sum of all exports",1124.663
"Sum of all respiratory flows",2429.147
"Sum of all flows into detritus",3870.519
"Total system throughput",14151.5
"Sum of all production",5196.842
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006527508
"Calculated total net primary production",3498.455
"Total primary production/total respiration",1.440199
"Net system production",1069.309
"Total primary production/total biomass",8.202849
"Total biomass/total throughput",0.03013763
"Total biomass (excluding detritus)",426.4927
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2003231
"Total market value",2.14144
"Total shadow value",0.07098036
"Total value",2.21242
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4992689
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.036337
