parameter,value
"Total consumption",6760.709
"Sum of all exports",1224.725
"Sum of all respiratory flows",2365.49
"Sum of all flows into detritus",3936.005
"Total system throughput",14286.93
"Sum of all production",5315.483
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006460892
"Calculated total net primary production",3534.527
"Total primary production/total respiration",1.494205
"Net system production",1169.037
"Total primary production/total biomass",8.257627
"Total biomass/total throughput",0.02995968
"Total biomass (excluding detritus)",428.0318
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2003429
"Total market value",2.14144
"Total shadow value",0.06938201
"Total value",2.210822
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4976705
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.035899
