parameter,value
"Total consumption",6688.232
"Sum of all exports",1074.939
"Sum of all respiratory flows",2382.309
"Sum of all flows into detritus",3801.344
"Total system throughput",13946.82
"Sum of all production",5123.146
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.00067131
"Calculated total net primary production",3401.736
"Total primary production/total respiration",1.427915
"Net system production",1019.427
"Total primary production/total biomass",7.984601
"Total biomass/total throughput",0.03054724
"Total biomass (excluding detritus)",426.037
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2004608
"Total market value",2.14144
"Total shadow value",0.07432938
"Total value",2.215769
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.502618
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.037099
