parameter,value
"Total consumption",6709.466
"Sum of all exports",1094.923
"Sum of all respiratory flows",2397.904
"Sum of all flows into detritus",3851.883
"Total system throughput",14054.18
"Sum of all production",5155.267
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006643239
"Calculated total net primary production",3437.509
"Total primary production/total respiration",1.433547
"Net system production",1039.605
"Total primary production/total biomass",8.013821
"Total biomass/total throughput",0.03052101
"Total biomass (excluding detritus)",428.9476
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2002788
"Total market value",2.14144
"Total shadow value",0.07324299
"Total value",2.214683
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5015315
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.035398
