GroupNo,Group,B,PB,QB,EE,GE,FishMort,PredMort,BioAccum,NetMig,OtherMort,NatMort
1,Transient_orca,0.001009764,0.05071915,6.000925,0,0.008451888,0,0,0,0,0.05071915,1
2,Salmon_sharks,0.2228902,0.1020216,6.028986,0.5045298,0.01692185,0.05147293,0,0,0,0.05054866,0.4954702
3,Resident_orca,0.01530868,0.04950693,8.729256,0,0.00567138,0,0,0,0,0.04950693,1
4,Sleeper_sharks,0.1102919,0.06972957,3.616426,0,0.01928135,0,0,0,0,0.06972957,1
5,Halibut,0.6875933,0.3127239,1.691324,0.2546693,0.1848989,0.0249341,0.05470706,0,0,0.2330827,0.920268
6,Pinnipeds,0.07214486,0.05913736,25.97883,0.8213637,0.002276368,0.00914517,0.03942811,0,0,0.01056408,0.8453572
7,Porpoise,0.01513457,0.1530794,29.33755,0.898878,0.005217866,0.0002661404,0.1373335,0,0,0.01547969,0.9982615
8,Lingcod,0.07862291,0.5781322,3.363249,0.8324453,0.1718969,0.0202034,0.46106,0,0,0.09686875,0.965054
9,Arrowtooth_L,3.958428,0.2615968,1.453992,0.1303812,0.1799162,0.000368806,0.0337385,0,0,0.2274895,0.9985902
10,Salmon_L,3.453166,1.515285,11.65939,0.6891845,0.1299627,0.5384971,0.5058136,0,0,0.4709741,0.6446232
11,Pacific_cod,0.3078051,1.20611,4.044294,0.6695848,0.2982251,0.215566,0.5920271,0,0,0.3985171,0.8212718
12,Sablefish,0.4808036,0.5668117,6.449101,0.869701,0.08789004,0.03891465,0.454042,0,0,0.07385502,0.9313446
13,Arrowtooth_S,0.2530586,0.2152594,3.271623,0.9140722,0.0657959,0,0.1967626,0,0,0.01849678,1
14,Spiny_dogfish,0.1650171,0.09121473,2.998235,0.7243602,0.03042281,0,0.06607232,0,0,0.02514241,1
15,Avian_raptors,0.003372744,0.05069518,36.0247,0,0.001407234,0,0,0,0,0.05069518,1
16,Octopods,0.1615135,3.078221,11.75917,0.9341756,0.2617719,0.001430762,2.874168,0,0,0.202622,0.9995352
17,Seabirds,0.02204651,0.1697628,149.2906,0.6800367,0.00113713,0,0.115445,0,0,0.05431788,1
18,Deep_demersals,1.002722,0.9894366,3.255445,0.9616631,0.3039328,0.002694541,0.9488102,0,0,0.03793191,0.9972767
19,Pollock_L,4.935984,1.29101,2.589664,0.5767604,0.4985239,0.03301146,0.7115918,0,0,0.5464063,0.9744297
20,Rockfish,1.092904,0.306803,3.347638,0.7278394,0.0916476,0.01254368,0.2107597,0,0,0.08349969,0.9591149
21,Baleen_whales,0.1464115,0.04974684,10.83615,0.07924049,0.004590824,0,0.003941964,0,0,0.04580488,1
