parameter,value
"Total consumption",6742.197
"Sum of all exports",1149.44
"Sum of all respiratory flows",2414.79
"Sum of all flows into detritus",3840.001
"Total system throughput",14146.43
"Sum of all production",5230.162
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006506411
"Calculated total net primary production",3509.799
"Total primary production/total respiration",1.453459
"Net system production",1095.009
"Total primary production/total biomass",8.18664
"Total biomass/total throughput",0.03030608
"Total biomass (excluding detritus)",428.7227
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2003849
"Total market value",2.14144
"Total shadow value",0.070556
"Total value",2.211996
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4988445
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.032652
