parameter,value
"Total consumption",6666.15
"Sum of all exports",1122.964
"Sum of all respiratory flows",2394.123
"Sum of all flows into detritus",3822.855
"Total system throughput",14006.09
"Sum of all production",5160.356
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006593447
"Calculated total net primary production",3463.469
"Total primary production/total respiration",1.446654
"Net system production",1069.345
"Total primary production/total biomass",8.085573
"Total biomass/total throughput",0.03058324
"Total biomass (excluding detritus)",428.3517
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2002694
"Total market value",2.14144
"Total shadow value",0.07069292
"Total value",2.212133
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4989816
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.038372
