parameter,value
"Total consumption",6760.283
"Sum of all exports",1171.032
"Sum of all respiratory flows",2423.247
"Sum of all flows into detritus",3899.131
"Total system throughput",14253.69
"Sum of all production",5262.311
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.00064544
"Calculated total net primary production",3538.082
"Total primary production/total respiration",1.460058
"Net system production",1114.835
"Total primary production/total biomass",8.274235
"Total biomass/total throughput",0.0299994
"Total biomass (excluding detritus)",427.6023
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2002673
"Total market value",2.14144
"Total shadow value",0.07060513
"Total value",2.212045
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4988936
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.035768
