parameter,value
"Total consumption",6704.105
"Sum of all exports",1075.09
"Sum of all respiratory flows",2396.183
"Sum of all flows into detritus",3812.21
"Total system throughput",13987.59
"Sum of all production",5131.86
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006684572
"Calculated total net primary production",3416.254
"Total primary production/total respiration",1.425707
"Net system production",1020.071
"Total primary production/total biomass",7.964828
"Total biomass/total throughput",0.03066415
"Total biomass (excluding detritus)",428.9175
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2001411
"Total market value",2.14144
"Total shadow value",0.07018987
"Total value",2.21163
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4984785
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.031388
