parameter,value
"Total consumption",6824.884
"Sum of all exports",1132.967
"Sum of all respiratory flows",2456.411
"Sum of all flows into detritus",3881.762
"Total system throughput",14296.02
"Sum of all production",5263.996
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006459812
"Calculated total net primary production",3535.117
"Total primary production/total respiration",1.439139
"Net system production",1078.706
"Total primary production/total biomass",8.198332
"Total biomass/total throughput",0.0301622
"Total biomass (excluding detritus)",431.1996
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2002307
"Total market value",2.14144
"Total shadow value",0.07007102
"Total value",2.211511
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4983596
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.026082
