parameter,value
"Total consumption",6746.809
"Sum of all exports",1132.968
"Sum of all respiratory flows",2418.371
"Sum of all flows into detritus",3866.828
"Total system throughput",14164.97
"Sum of all production",5216.375
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006529615
"Calculated total net primary production",3497.326
"Total primary production/total respiration",1.44615
"Net system production",1078.956
"Total primary production/total biomass",8.133592
"Total biomass/total throughput",0.03035554
"Total biomass (excluding detritus)",429.9855
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2000826
"Total market value",2.14144
"Total shadow value",0.07178333
"Total value",2.213223
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5000719
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.033133
