parameter,value
"Total consumption",6788.467
"Sum of all exports",1302.383
"Sum of all respiratory flows",2395.277
"Sum of all flows into detritus",4063.875
"Total system throughput",14550
"Sum of all production",5411.589
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006268768
"Calculated total net primary production",3642.852
"Total primary production/total respiration",1.520848
"Net system production",1247.575
"Total primary production/total biomass",8.474343
"Total biomass/total throughput",0.02954421
"Total biomass (excluding detritus)",429.8684
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.1999221
"Total market value",2.14144
"Total shadow value",0.06946017
"Total value",2.2109
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4977487
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.034333
