parameter,value
"Total consumption",6709.057
"Sum of all exports",1070.874
"Sum of all respiratory flows",2416.628
"Sum of all flows into detritus",3810.647
"Total system throughput",14007.21
"Sum of all production",5132.297
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006653583
"Calculated total net primary production",3432.165
"Total primary production/total respiration",1.420229
"Net system production",1015.537
"Total primary production/total biomass",7.974147
"Total biomass/total throughput",0.03072786
"Total biomass (excluding detritus)",430.4115
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2004213
"Total market value",2.14144
"Total shadow value",0.07003293
"Total value",2.211473
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4983214
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.033404
