parameter,value
"Total consumption",6691.525
"Sum of all exports",1172.102
"Sum of all respiratory flows",2374.047
"Sum of all flows into detritus",3909.932
"Total system throughput",14147.61
"Sum of all production",5224.129
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006538528
"Calculated total net primary production",3492.559
"Total primary production/total respiration",1.471142
"Net system production",1118.512
"Total primary production/total biomass",8.127297
"Total biomass/total throughput",0.03037489
"Total biomass (excluding detritus)",429.7319
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2003599
"Total market value",2.14144
"Total shadow value",0.06978706
"Total value",2.211227
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4980756
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.034403
