parameter,value
"Total consumption",6775.404
"Sum of all exports",1147.176
"Sum of all respiratory flows",2434.287
"Sum of all flows into detritus",3879.339
"Total system throughput",14236.21
"Sum of all production",5246.95
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.000647534
"Calculated total net primary production",3526.64
"Total primary production/total respiration",1.448736
"Net system production",1092.353
"Total primary production/total biomass",8.155054
"Total biomass/total throughput",0.03037667
"Total biomass (excluding detritus)",432.4484
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2004887
"Total market value",2.14144
"Total shadow value",0.07482246
"Total value",2.216262
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.503111
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.035146
