parameter,value
"Total consumption",6795.899
"Sum of all exports",1137.318
"Sum of all respiratory flows",2418.58
"Sum of all flows into detritus",3865.333
"Total system throughput",14217.13
"Sum of all production",5251.551
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006521139
"Calculated total net primary production",3501.872
"Total primary production/total respiration",1.447904
"Net system production",1083.292
"Total primary production/total biomass",8.12314
"Total biomass/total throughput",0.03032246
"Total biomass (excluding detritus)",431.0983
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2003231
"Total market value",2.14144
"Total shadow value",0.07611049
"Total value",2.217551
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5043992
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.038855
