parameter,value
"Total consumption",6779.483
"Sum of all exports",1161.125
"Sum of all respiratory flows",2417.411
"Sum of all flows into detritus",3922.011
"Total system throughput",14280.03
"Sum of all production",5265.078
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006478647
"Calculated total net primary production",3524.84
"Total primary production/total respiration",1.458106
"Net system production",1107.43
"Total primary production/total biomass",8.161032
"Total biomass/total throughput",0.03024581
"Total biomass (excluding detritus)",431.9111
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2004561
"Total market value",2.14144
"Total shadow value",0.06966998
"Total value",2.21111
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4979585
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.030291
