parameter,value
"Total consumption",6769.013
"Sum of all exports",1187.786
"Sum of all respiratory flows",2449.836
"Sum of all flows into detritus",3905.404
"Total system throughput",14312.04
"Sum of all production",5284.513
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006373865
"Calculated total net primary production",3582.786
"Total primary production/total respiration",1.462459
"Net system production",1132.95
"Total primary production/total biomass",8.324808
"Total biomass/total throughput",0.03007081
"Total biomass (excluding detritus)",430.3746
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.1997498
"Total market value",2.14144
"Total shadow value",0.07439292
"Total value",2.215833
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5026816
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.03767
