parameter,value
"Total consumption",6862.325
"Sum of all exports",1223.714
"Sum of all respiratory flows",2437.914
"Sum of all flows into detritus",3978.226
"Total system throughput",14502.18
"Sum of all production",5375.372
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006334308
"Calculated total net primary production",3605.16
"Total primary production/total respiration",1.478789
"Net system production",1167.246
"Total primary production/total biomass",8.35529
"Total biomass/total throughput",0.02975293
"Total biomass (excluding detritus)",431.4823
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2002988
"Total market value",2.14144
"Total shadow value",0.07267936
"Total value",2.214119
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5009679
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.032783
