parameter,value
"Total consumption",6806.654
"Sum of all exports",1185.326
"Sum of all respiratory flows",2393.792
"Sum of all flows into detritus",3914.776
"Total system throughput",14300.55
"Sum of all production",5304.181
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006482092
"Calculated total net primary production",3522.967
"Total primary production/total respiration",1.471709
"Net system production",1129.174
"Total primary production/total biomass",8.147674
"Total biomass/total throughput",0.03023585
"Total biomass (excluding detritus)",432.3893
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2003614
"Total market value",2.14144
"Total shadow value",0.0732383
"Total value",2.214678
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.501527
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.033735
