parameter,value
"Total consumption",6819.193
"Sum of all exports",1143.731
"Sum of all respiratory flows",2442.969
"Sum of all flows into detritus",3906.913
"Total system throughput",14312.8
"Sum of all production",5271.058
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006465997
"Calculated total net primary production",3531.736
"Total primary production/total respiration",1.445673
"Net system production",1088.767
"Total primary production/total biomass",8.147705
"Total biomass/total throughput",0.03028504
"Total biomass (excluding detritus)",433.4638
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.200418
"Total market value",2.14144
"Total shadow value",0.07174665
"Total value",2.213187
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5000352
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.031477
