parameter,value
"Total consumption",6681.035
"Sum of all exports",1082.275
"Sum of all respiratory flows",2381.894
"Sum of all flows into detritus",3792.958
"Total system throughput",13938.16
"Sum of all production",5127.659
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006696277
"Calculated total net primary production",3410.282
"Total primary production/total respiration",1.431752
"Net system production",1028.388
"Total primary production/total biomass",7.945098
"Total biomass/total throughput",0.03079538
"Total biomass (excluding detritus)",429.231
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2004646
"Total market value",2.14144
"Total shadow value",0.07184729
"Total value",2.213287
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5001358
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.03355
