parameter,value
"Total consumption",6724.942
"Sum of all exports",1178.057
"Sum of all respiratory flows",2388.51
"Sum of all flows into detritus",3935.013
"Total system throughput",14226.52
"Sum of all production",5249.131
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.00065031
"Calculated total net primary production",3511.586
"Total primary production/total respiration",1.4702
"Net system production",1123.076
"Total primary production/total biomass",8.19313
"Total biomass/total throughput",0.03012692
"Total biomass (excluding detritus)",428.6013
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2003578
"Total market value",2.14144
"Total shadow value",0.06982161
"Total value",2.211262
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4981102
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.034204
