parameter,value
"Total consumption",6750.785
"Sum of all exports",1071.954
"Sum of all respiratory flows",2429.013
"Sum of all flows into detritus",3808.318
"Total system throughput",14060.07
"Sum of all production",5158.659
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.000662875
"Calculated total net primary production",3445.022
"Total primary production/total respiration",1.418281
"Net system production",1016.01
"Total primary production/total biomass",8.043057
"Total biomass/total throughput",0.03046375
"Total biomass (excluding detritus)",428.3225
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2005117
"Total market value",2.14144
"Total shadow value",0.07078943
"Total value",2.212229
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4990779
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.03414
