parameter,value
"Total consumption",6795.2
"Sum of all exports",1182.834
"Sum of all respiratory flows",2426.807
"Sum of all flows into detritus",3918.344
"Total system throughput",14323.19
"Sum of all production",5294.131
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006426224
"Calculated total net primary production",3553.594
"Total primary production/total respiration",1.464309
"Net system production",1126.788
"Total primary production/total biomass",8.322306
"Total biomass/total throughput",0.02981155
"Total biomass (excluding detritus)",426.9963
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.1999351
"Total market value",2.14144
"Total shadow value",0.0697143
"Total value",2.211154
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4980029
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.034986
