parameter,value
"Total consumption",6778.928
"Sum of all exports",1119.099
"Sum of all respiratory flows",2415.524
"Sum of all flows into detritus",3869.738
"Total system throughput",14183.29
"Sum of all production",5222.446
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006560953
"Calculated total net primary production",3480.621
"Total primary production/total respiration",1.440938
"Net system production",1065.097
"Total primary production/total biomass",8.069063
"Total biomass/total throughput",0.03041282
"Total biomass (excluding detritus)",431.3538
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.200303
"Total market value",2.14144
"Total shadow value",0.07513558
"Total value",2.216575
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.503424
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.033283
