parameter,value
"Total consumption",6806.547
"Sum of all exports",1194.636
"Sum of all respiratory flows",2436.958
"Sum of all flows into detritus",3907.66
"Total system throughput",14345.8
"Sum of all production",5314.736
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006383336
"Calculated total net primary production",3577.47
"Total primary production/total respiration",1.468006
"Net system production",1140.512
"Total primary production/total biomass",8.25791
"Total biomass/total throughput",0.03019821
"Total biomass (excluding detritus)",433.2174
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.200289
"Total market value",2.14144
"Total shadow value",0.07386025
"Total value",2.2153
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5021487
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.034358
