parameter,value
"Total consumption",6765.933
"Sum of all exports",1140.434
"Sum of all respiratory flows",2385.672
"Sum of all flows into detritus",3885.707
"Total system throughput",14177.75
"Sum of all production",5235.61
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006581068
"Calculated total net primary production",3469.983
"Total primary production/total respiration",1.454509
"Net system production",1084.311
"Total primary production/total biomass",8.124833
"Total biomass/total throughput",0.03012352
"Total biomass (excluding detritus)",427.0836
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2001063
"Total market value",2.14144
"Total shadow value",0.07005837
"Total value",2.211498
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4983469
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.035765
