parameter,value
"Total consumption",6803.425
"Sum of all exports",1184.751
"Sum of all respiratory flows",2432.405
"Sum of all flows into detritus",3896.684
"Total system throughput",14317.27
"Sum of all production",5302.581
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006410627
"Calculated total net primary production",3562.24
"Total primary production/total respiration",1.464493
"Net system production",1129.835
"Total primary production/total biomass",8.293301
"Total biomass/total throughput",0.030001
"Total biomass (excluding detritus)",429.5323
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2000812
"Total market value",2.14144
"Total shadow value",0.07026495
"Total value",2.211705
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4985536
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.036609
