parameter,value
"Total consumption",6710.606
"Sum of all exports",1070.45
"Sum of all respiratory flows",2409.979
"Sum of all flows into detritus",3811.778
"Total system throughput",14002.81
"Sum of all production",5132.802
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006667136
"Calculated total net primary production",3425.188
"Total primary production/total respiration",1.421252
"Net system production",1015.209
"Total primary production/total biomass",7.931889
"Total biomass/total throughput",0.03083845
"Total biomass (excluding detritus)",431.825
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.1998831
"Total market value",2.14144
"Total shadow value",0.07396306
"Total value",2.215403
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5022517
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.031981
