GroupNo,Group,B,PB,QB,EE,GE,FishMort,PredMort,BioAccum,NetMig,OtherMort,NatMort
1,Transient_orca,0.0009842245,0.0501801,5.97437,0,0.008399228,0,0,0,0,0.0501801,1
2,Salmon_sharks,0.2228487,0.09952701,5.941283,0.5172719,0.01675177,0.05148252,0,0,0,0.04804449,0.4827281
3,Resident_orca,0.01511784,0.0496967,8.613498,0,0.00576963,0,0,0,0,0.0496967,1
4,Sleeper_sharks,0.1101073,0.07091434,3.60819,0,0.01965372,0,0,0,0,0.07091434,1
5,Halibut,0.6854382,0.3180498,1.747321,0.2464861,0.1820214,0.0250125,0.05338234,0,0,0.239655,0.9213567
6,Pinnipeds,0.07074669,0.0586777,25.12222,0.8238717,0.002335689,0.009325907,0.03901698,0,0,0.0103348,0.8410655
7,Porpoise,0.01555647,0.1531597,29.02262,0.848215,0.005277254,0.0002589225,0.1296535,0,0,0.02324735,0.9983094
8,Lingcod,0.07584959,0.5641249,3.299161,0.9005824,0.1709904,0.0209421,0.4870989,0,0,0.05608393,0.9628769
9,Arrowtooth_L,3.94882,0.2561549,1.440304,0.1328813,0.1778478,0.0003697034,0.03366848,0,0,0.2221167,0.9985567
10,Salmon_L,3.459456,1.524725,11.97521,0.6777405,0.1273235,0.5375181,0.4958498,0,0,0.4913571,0.6474656
11,Pacific_cod,0.3039755,1.207561,4.007991,0.6759805,0.3012885,0.2182817,0.5980062,0,0,0.3912735,0.8192376
12,Sablefish,0.4743281,0.5656457,6.458374,0.8752153,0.0875833,0.03944591,0.4556158,0,0,0.07058393,0.9302639
13,Arrowtooth_S,0.243659,0.2126851,3.253372,0.9463637,0.06537372,0,0.2012774,0,0,0.01140764,1
14,Spiny_dogfish,0.1584541,0.09243517,2.991488,0.7334368,0.03089939,0,0.06779535,0,0,0.02463982,1
15,Avian_raptors,0.003287252,0.04982343,36.84525,0,0.001352235,0,0,0,0,0.04982343,1
16,Octopods,0.1561384,3.076195,11.56622,0.9509977,0.2659638,0.001480017,2.923974,0,0,0.1507406,0.9995189
17,Seabirds,0.02163398,0.1716496,147.4211,0.6828181,0.001164349,0,0.1172055,0,0,0.05444415,1
18,Deep_demersals,1.019943,0.9767659,3.287327,0.9581021,0.2971308,0.002649044,0.9331925,0,0,0.04092443,0.9972879
19,Pollock_L,5.01181,1.325205,2.703892,0.5472042,0.4901102,0.03251201,0.6926458,0,0,0.6000473,0.9754664
20,Rockfish,1.076894,0.2990146,3.441215,0.7493886,0.08689216,0.01273017,0.211348,0,0,0.07493647,0.9574262
21,Baleen_whales,0.1498407,0.04916878,10.93782,0.0760181,0.004495298,0,0.003737717,0,0,0.04543106,1
22,Salmon_fry_S,0.8039408,2.209577,27.40184,0.1642835,0.08063608,0,0.362997,0,0,1.84658,1
23,Nshore_demersal,4.109039,1.01701,4.264176,0.784681,0.238501,3.910651E-05,0.7979894,0,0,0.2189817,0.9999616
24,Squids,2.986091,3.055013,14.97685,0.9169538,0.2039824,3.925014E-05,2.801266,0,0,0.2537072,0.9999871
25,Eulachon,1.096526,2.507065,17.59511,0.6756114,0.1424864,0.0001191521,1.693682,0,0,0.8132632,0.9999525
26,Sea_otters,0.04076058,0.1327535,116.2149,0.005207921,0.00114231,4.355286E-06,0.0006870143,0,0,0.1320621,0.9999672
27,Deep_epibenthos,29.98522,3.027116,9.92437,0.9262208,0.3050185,0.0001559036,2.803622,0,0,0.2233381,0.9999485
28,Capelin,0.4412448,3.505996,18.10129,0.5565178,0.1936876,0.0001454768,1.951004,0,0,1.554847,0.9999585
29,Herring_L,3.004869,0.3883988,3.495333,0.9563199,0.1111192,0.0003510008,0.3710824,0,0,0.01696531,0.9990963
30,Pollock_S,0.6424363,2.304949,7.519753,0.3775334,0.3065192,0,0.870195,0,0,1.434754,1
31,Invert_eat_seaduck,0.0002685821,0.1949384,146.3836,0.7397514,0.001331696,0,0.1442059,0,0,0.05073244,1
32,Oystercatchers,0.0003138481,0.3104256,147.5217,0.8702539,0.002104271,0,0.2701491,0,0,0.0402765,1
33,Sandlance,0.5884048,1.998036,17.82472,0.74664,0.1120936,0,1.491814,0,0,0.5062224,1
34,Sunflower_stars,0.3668397,1.971371,9.983046,0.9661085,0.1974719,0,1.904558,0,0,0.06681271,1
35,Pisaster_Evasterias,1.00374,2.030637,9.91431,0.5766771,0.2048188,0,1.171022,0,0,0.8596151,1
36,Leather_stars,0.9879355,1.936365,10.14311,0.564903,0.1909046,0,1.093859,0,0,0.8425068,1
37,Cucumbers,0.537172,0.587207,3.266879,0.74927,0.1797456,1.398062E-07,0.4399764,0,0,0.1472304,0.9999998
38,Urchins,0.587334,0.6015496,2.820135,0.7522699,0.2133052,3.303061E-07,0.4525273,0,0,0.149022,0.9999995
39,Helmet_crab,0.8114572,1.99631,10.06197,0.8906966,0.1984015,0,1.778106,0,0,0.2182034,1
40,Herring_S,1.957009,1.459046,8.161238,0.7872974,0.1787775,0,1.148703,0,0,0.3103429,1
41,Jellies,6.333175,4.883076,28.13925,0.05847794,0.1735326,0,0.2855522,0,0,4.597524,1
42,Deep_infauna_S,51.65875,2.963047,23.45956,0.9029175,0.1263044,0,2.675387,0,0,0.28766,1
43,Zoopl_near_onmiv,0.1064369,8.018687,27.13056,0.6674064,0.2955592,0,5.351723,0,0,2.666964,1
44,Zoop_omniv,23.98672,11.90683,22.00299,0.8594542,0.5411459,0,10.23337,0,0,1.673455,1
45,Shallow_infauna_S,51.6994,3.766589,23.62609,0.9425385,0.159425,0,3.550155,0,0,0.2164338,1
46,Meiofauna,3.735489,4.661464,22.13736,0.9914504,0.21057,0,4.62161,0,0,0.03985352,1
