parameter,value
"Total consumption",6850.503
"Sum of all exports",1080.485
"Sum of all respiratory flows",2471.153
"Sum of all flows into detritus",3847.673
"Total system throughput",14249.81
"Sum of all production",5225.573
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006531465
"Calculated total net primary production",3496.336
"Total primary production/total respiration",1.41486
"Net system production",1025.183
"Total primary production/total biomass",8.128502
"Total biomass/total throughput",0.03018516
"Total biomass (excluding detritus)",430.1329
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2004337
"Total market value",2.14144
"Total shadow value",0.06844603
"Total value",2.209886
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4967345
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.024075
