parameter,value
"Total consumption",6778.08
"Sum of all exports",1174.882
"Sum of all respiratory flows",2428.617
"Sum of all flows into detritus",3893.308
"Total system throughput",14274.89
"Sum of all production",5276.754
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006436163
"Calculated total net primary production",3548.107
"Total primary production/total respiration",1.460958
"Net system production",1119.49
"Total primary production/total biomass",8.249516
"Total biomass/total throughput",0.03012975
"Total biomass (excluding detritus)",430.0988
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2001595
"Total market value",2.14144
"Total shadow value",0.07125756
"Total value",2.212698
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4995462
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.034372
