parameter,value
"Total consumption",6882.988
"Sum of all exports",1179.351
"Sum of all respiratory flows",2475.07
"Sum of all flows into detritus",3950.764
"Total system throughput",14488.17
"Sum of all production",5346.043
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006343778
"Calculated total net primary production",3599.778
"Total primary production/total respiration",1.454415
"Net system production",1124.708
"Total primary production/total biomass",8.271998
"Total biomass/total throughput",0.03003666
"Total biomass (excluding detritus)",435.1763
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2002285
"Total market value",2.14144
"Total shadow value",0.07377086
"Total value",2.215211
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5020593
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.033004
