parameter,value
"Total consumption",6815.019
"Sum of all exports",1233.166
"Sum of all respiratory flows",2438.782
"Sum of all flows into detritus",3966.692
"Total system throughput",14453.66
"Sum of all production",5358.23
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006314084
"Calculated total net primary production",3616.708
"Total primary production/total respiration",1.482997
"Net system production",1177.926
"Total primary production/total biomass",8.372507
"Total biomass/total throughput",0.02988685
"Total biomass (excluding detritus)",431.9743
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2001741
"Total market value",2.14144
"Total shadow value",0.06892917
"Total value",2.210369
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4972178
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.032085
