parameter,value
"Total consumption",6768.177
"Sum of all exports",1156.315
"Sum of all respiratory flows",2393.528
"Sum of all flows into detritus",3885.243
"Total system throughput",14203.26
"Sum of all production",5252.477
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006532929
"Calculated total net primary production",3495.552
"Total primary production/total respiration",1.460418
"Net system production",1102.024
"Total primary production/total biomass",8.127728
"Total biomass/total throughput",0.03028019
"Total biomass (excluding detritus)",430.0775
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2005153
"Total market value",2.14144
"Total shadow value",0.06957656
"Total value",2.211016
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4978651
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.029057
