parameter,value
"Total consumption",6711.091
"Sum of all exports",1224.162
"Sum of all respiratory flows",2392.823
"Sum of all flows into detritus",3918.138
"Total system throughput",14246.21
"Sum of all production",5286
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006412573
"Calculated total net primary production",3561.159
"Total primary production/total respiration",1.488267
"Net system production",1168.337
"Total primary production/total biomass",8.320357
"Total biomass/total throughput",0.03004346
"Total biomass (excluding detritus)",428.0056
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2001625
"Total market value",2.14144
"Total shadow value",0.06821693
"Total value",2.209657
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4965056
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.034889
