parameter,value
"Total consumption",6765.444
"Sum of all exports",1134.142
"Sum of all respiratory flows",2418.488
"Sum of all flows into detritus",3842.217
"Total system throughput",14160.29
"Sum of all production",5229.834
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006528256
"Calculated total net primary production",3498.054
"Total primary production/total respiration",1.446381
"Net system production",1079.566
"Total primary production/total biomass",8.149564
"Total biomass/total throughput",0.03031238
"Total biomass (excluding detritus)",429.2321
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.1999643
"Total market value",2.14144
"Total shadow value",0.07209823
"Total value",2.213538
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5003868
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.039864
