parameter,value
"Total consumption",6767.202
"Sum of all exports",1141.839
"Sum of all respiratory flows",2439.304
"Sum of all flows into detritus",3897.728
"Total system throughput",14246.07
"Sum of all production",5236.991
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.000647717
"Calculated total net primary production",3525.644
"Total primary production/total respiration",1.445348
"Net system production",1086.34
"Total primary production/total biomass",8.214112
"Total biomass/total throughput",0.03012885
"Total biomass (excluding detritus)",429.2178
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2004073
"Total market value",2.14144
"Total shadow value",0.07035922
"Total value",2.211799
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4986478
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.033207
