GroupNo,Group,B,PB,QB,EE,GE,FishMort,PredMort,BioAccum,NetMig,OtherMort,NatMort
1,Transient_orca,0.001019066,0.04892783,6.022486,0,0.008124191,0,0,0,0,0.04892783,1
2,Salmon_sharks,0.2216259,0.09876556,6.102541,0.5241356,0.01618433,0.05176655,0,0,0,0.04699901,0.4758644
3,Resident_orca,0.01495547,0.048661,8.801688,0,0.005528599,0,0,0,0,0.048661,1
4,Sleeper_sharks,0.1109143,0.07052056,3.665474,0,0.01923914,0,0,0,0,0.07052056,1
5,Halibut,0.6849141,0.3188463,1.726209,0.2507819,0.184709,0.02503164,0.05492924,0,0,0.2388854,0.9214931
6,Pinnipeds,0.07106345,0.05969808,25.88782,0.834639,0.00230603,0.009284337,0.040542,0,0,0.009871736,0.8444785
7,Porpoise,0.01501302,0.1514693,29.98745,0.9275218,0.005051092,0.0002682951,0.1402228,0,0,0.01097823,0.9982287
8,Lingcod,0.07780796,0.5673286,3.379185,0.8201666,0.1678891,0.02041501,0.4448889,0,0,0.1020246,0.9640155
9,Arrowtooth_L,3.844899,0.2538347,1.467802,0.1408847,0.1729352,0.0003796958,0.03538173,0,0,0.2180732,0.9985042
10,Salmon_L,3.40622,1.572227,11.87509,0.6736684,0.1323971,0.545919,0.5132407,0,0,0.5130675,0.6527735
11,Pacific_cod,0.3005791,1.191947,3.919549,0.6991252,0.3041032,0.2207482,0.6125723,0,0,0.358627,0.8148004
12,Sablefish,0.4949017,0.5658603,6.513004,0.8511292,0.08688162,0.0378061,0.4438142,0,0,0.08424009,0.9331883
13,Arrowtooth_S,0.2339402,0.2132498,3.321911,0.9714987,0.06419493,0,0.2071719,0,0,0.006077903,1
14,Spiny_dogfish,0.1579147,0.09153795,3.052934,0.7591377,0.0299836,0,0.06948991,0,0,0.02204804,1
15,Avian_raptors,0.003329017,0.04995549,35.98998,0,0.001388039,0,0,0,0,0.04995549,1
16,Octopods,0.1533134,3.114926,12.1766,0.9580317,0.2558125,0.001507288,2.982691,0,0,0.1307281,0.9995161
17,Seabirds,0.02192777,0.1625768,154.9231,0.7044382,0.001049403,0,0.1145253,0,0,0.0480515,1
18,Deep_demersals,1.002914,0.9811549,3.096615,0.949424,0.3168475,0.002694025,0.9288381,0,0,0.04962292,0.9972543
19,Pollock_L,4.852001,1.29447,2.661362,0.5851388,0.4863939,0.03358285,0.7238619,0,0,0.5370255,0.9740567
20,Rockfish,1.033517,0.3070498,3.484324,0.7539814,0.08812322,0.01326446,0.2182454,0,0,0.07553998,0.9568003
21,Baleen_whales,0.1505498,0.05001453,10.97781,0.07763388,0.004555967,0,0.003882822,0,0,0.0461317,1
22,Salmon_fry_S,0.8272387,2.187438,26.90558,0.1637778,0.08130051,0,0.3582537,0,0,1.829184,1
23,Nshore_demersal,4.281103,1.005373,4.160802,0.7713821,0.2416296,3.753476E-05,0.775489,0,0,0.2298462,0.9999627
24,Squids,2.945371,3.037968,14.77247,0.9457115,0.2056506,3.979278E-05,2.873002,0,0,0.1649268,0.9999869
25,Eulachon,1.098165,2.551952,17.57828,0.6691939,0.1451764,0.0001189743,1.707632,0,0,0.8442011,0.9999534
26,Sea_otters,0.04182859,0.128281,117.3809,0.005480147,0.001092861,4.244083E-06,0.0006987544,0,0,0.127578,0.9999669
27,Deep_epibenthos,30.02971,3.024847,10.13935,0.9420047,0.2983276,0.0001556726,2.849265,0,0,0.175427,0.9999486
28,Capelin,0.4450362,3.479516,17.81003,0.5551858,0.1953683,0.0001442375,1.931633,0,0,1.547738,0.9999586
29,Herring_L,2.940462,0.4022965,3.428156,0.9580169,0.1173507,0.000358689,0.3850481,0,0,0.01688967,0.9991084
30,Pollock_S,0.6112194,2.396274,7.51948,0.3776691,0.3186755,0,0.9049984,0,0,1.491275,1
31,Invert_eat_seaduck,0.0002793428,0.1968599,152.7591,0.735118,0.001288695,0,0.1447152,0,0,0.05214464,1
32,Oystercatchers,0.0003103747,0.2989666,154.9649,0.9038518,0.001929253,0,0.2702215,0,0,0.02874509,1
33,Sandlance,0.6157957,2.006859,18.61381,0.7178311,0.1078156,0,1.440586,0,0,0.5662732,1
34,Sunflower_stars,0.3429385,2.043665,9.991379,0.9960479,0.2045428,0,2.035588,0,0,0.008076861,1
35,Pisaster_Evasterias,1.029696,1.983547,10.14805,0.5716678,0.195461,0,1.13393,0,0,0.8496172,1
36,Leather_stars,1.013432,2.009928,10.05011,0.5250099,0.1999907,0,1.055232,0,0,0.9546961,1
37,Cucumbers,0.5176384,0.5984251,3.378794,0.7767414,0.1771121,1.45082E-07,0.4648215,0,0,0.1336036,0.9999998
38,Urchins,0.6269372,0.5950675,2.798026,0.7376342,0.212674,3.094409E-07,0.4389418,0,0,0.1561254,0.9999995
39,Helmet_crab,0.7964927,2.033333,9.961814,0.8911886,0.2041127,0,1.812083,0,0,0.2212499,1
40,Herring_S,2.003215,1.455916,7.957631,0.7746909,0.1829584,0,1.127885,0,0,0.328031,1
41,Jellies,6.309973,5.09124,30.17688,0.05659863,0.1687132,0,0.2881572,0,0,4.803083,1
42,Deep_infauna_S,49.31563,2.950582,22.31847,0.9332791,0.1322036,0,2.753717,0,0,0.1968655,1
43,Zoopl_near_onmiv,0.108438,8.095395,26.94034,0.6618717,0.3004935,0,5.358113,0,0,2.737283,1
44,Zoop_omniv,24.99143,11.89031,21.73417,0.7982225,0.547079,0,9.491116,0,0,2.399197,1
45,Shallow_infauna_S,52.87406,3.794696,22.9437,0.9085513,0.1653916,0,3.447676,0,0,0.3470201,1
46,Meiofauna,4.639282,4.463722,22.84389,0.9558644,0.1954012,0,4.266713,0,0,0.1970092,1
47,Deep_infauna_L,28.24845,0.6120065,22.39495,0.9377655,0.02732788,0,0.5739186,0,0,0.0380879,1
48,Snail_crust_S,19.9059,2.303824,10.11527,0.9551396,0.2277571,8.109553E-07,2.200472,0,0,0.1033505,0.9999996
49,Mussels,8.627406,2.315197,10.09197,0.3891565,0.2294097,4.637686E-07,0.9009733,0,0,1.414223,0.9999998
50,Barnacles,8.612481,2.291636,9.875087,0.3609168,0.2320624,0,0.82709,0,0,1.464547,1
51,Shallow_infauna_clams,12.59509,0.6009617,22.82671,0.5953394,0.02632713,3.937458E-05,0.3577368,0,0,0.2431856,0.9999345
52,Zoopl_near_herb,2.352636,27.89191,89.18372,0.8111412,0.3127466,0,22.62427,0,0,5.267632,1
53,Zoopl_herb,30.47189,23.49818,50.28313,0.6794454,0.4673173,0,15.96573,0,0,7.532448,1
54,Phyto_near,5.547782,189.9818,0,0.972079,-9999,0,184.6773,0,0,5.304486,1
55,Phyto_off,11.48082,185.3496,0,0.9198017,-9999,0,170.4848,0,0,14.86473,1
56,Fucus,25.17013,4.020543,0,0.02059045,-9999,0,0.08278476,0,0,3.937758,1
57,Subtidal_kelps,24.60087,4.07972,0,0.1956931,-9999,0,0.7983732,0,0,3.281347,1
58,Macroalgae_other,24.85476,4.006608,0,0.2925508,-9999,0,1.172136,0,0,2.834472,1
59,Eelgrass,24.92778,4.03524,0,0,-9999,0,0,0,0,4.03524,1
60,Nekton_falls,2,-9999,-9999,0.769452,-9999,0,0,0,-1.25,-2305.25,1
61,Inshore_detritus,19.52,-9999,-9999,0.7185057,-9999,0,0,0,-0.2459016,-2814.662,1
62,Offshore_detritus,114.48,-9999,-9999,0.5595468,-9999,0,0,0,-0.04192872,-4404.091,1
