parameter,value
"Total consumption",6773.809
"Sum of all exports",1212.568
"Sum of all respiratory flows",2425.554
"Sum of all flows into detritus",3914.542
"Total system throughput",14326.47
"Sum of all production",5312.319
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006372277
"Calculated total net primary production",3583.679
"Total primary production/total respiration",1.477468
"Net system production",1158.125
"Total primary production/total biomass",8.282994
"Total biomass/total throughput",0.03019968
"Total biomass (excluding detritus)",432.655
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2001511
"Total market value",2.14144
"Total shadow value",0.07394785
"Total value",2.215388
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5022365
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.030255
