parameter,value
"Total consumption",6715.386
"Sum of all exports",1250.197
"Sum of all respiratory flows",2368.107
"Sum of all flows into detritus",3967.064
"Total system throughput",14300.75
"Sum of all production",5314.781
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006408677
"Calculated total net primary production",3563.324
"Total primary production/total respiration",1.504714
"Net system production",1195.218
"Total primary production/total biomass",8.265231
"Total biomass/total throughput",0.03014681
"Total biomass (excluding detritus)",431.1222
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2003761
"Total market value",2.14144
"Total shadow value",0.07353681
"Total value",2.214977
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5018255
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.032122
