parameter,value
"Total consumption",6813.752
"Sum of all exports",1166.203
"Sum of all respiratory flows",2447.473
"Sum of all flows into detritus",3879.428
"Total system throughput",14306.86
"Sum of all production",5290.953
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006416238
"Calculated total net primary production",3559.125
"Total primary production/total respiration",1.454204
"Net system production",1111.652
"Total primary production/total biomass",8.205405
"Total biomass/total throughput",0.0303179
"Total biomass (excluding detritus)",433.7538
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2003455
"Total market value",2.14144
"Total shadow value",0.07254964
"Total value",2.213989
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5008382
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.030671
