parameter,value
"Total consumption",6788.788
"Sum of all exports",1169.468
"Sum of all respiratory flows",2385.207
"Sum of all flows into detritus",3911.706
"Total system throughput",14255.17
"Sum of all production",5278.59
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.000652539
"Calculated total net primary production",3499.591
"Total primary production/total respiration",1.467206
"Net system production",1114.384
"Total primary production/total biomass",8.092243
"Total biomass/total throughput",0.03033723
"Total biomass (excluding detritus)",432.4624
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2001416
"Total market value",2.14144
"Total shadow value",0.07029116
"Total value",2.211731
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4985796
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.032742
