parameter,value
"Total consumption",6780.5
"Sum of all exports",1218.378
"Sum of all respiratory flows",2428.815
"Sum of all flows into detritus",3944.654
"Total system throughput",14372.35
"Sum of all production",5322.484
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006357749
"Calculated total net primary production",3591.868
"Total primary production/total respiration",1.478856
"Net system production",1163.052
"Total primary production/total biomass",8.344442
"Total biomass/total throughput",0.0299499
"Total biomass (excluding detritus)",430.4503
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2000201
"Total market value",2.14144
"Total shadow value",0.0713499
"Total value",2.21279
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4996384
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.034184
