parameter,value
"Total consumption",6792.876
"Sum of all exports",1064.969
"Sum of all respiratory flows",2434.973
"Sum of all flows into detritus",3837.385
"Total system throughput",14130.2
"Sum of all production",5176.943
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006625949
"Calculated total net primary production",3446.479
"Total primary production/total respiration",1.415407
"Net system production",1011.506
"Total primary production/total biomass",7.922673
"Total biomass/total throughput",0.03078616
"Total biomass (excluding detritus)",435.0146
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2000263
"Total market value",2.14144
"Total shadow value",0.07296004
"Total value",2.2144
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5012487
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.030157
