parameter,value
"Total consumption",6763.135
"Sum of all exports",1056.749
"Sum of all respiratory flows",2432.572
"Sum of all flows into detritus",3814.818
"Total system throughput",14067.27
"Sum of all production",5150.826
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006648697
"Calculated total net primary production",3434.687
"Total primary production/total respiration",1.411957
"Net system production",1002.115
"Total primary production/total biomass",7.981072
"Total biomass/total throughput",0.03059257
"Total biomass (excluding detritus)",430.3541
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2001169
"Total market value",2.14144
"Total shadow value",0.0727889
"Total value",2.214229
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5010775
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.030985
