parameter,value
"Total consumption",6785.918
"Sum of all exports",1112.561
"Sum of all respiratory flows",2458.375
"Sum of all flows into detritus",3869.78
"Total system throughput",14226.63
"Sum of all production",5219.232
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006497939
"Calculated total net primary production",3514.375
"Total primary production/total respiration",1.429552
"Net system production",1055.999
"Total primary production/total biomass",8.164725
"Total biomass/total throughput",0.0302555
"Total biomass (excluding detritus)",430.4339
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2003519
"Total market value",2.14144
"Total shadow value",0.07146905
"Total value",2.212909
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4997576
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.03397
