parameter,value
"Total consumption",6778.355
"Sum of all exports",1163.003
"Sum of all respiratory flows",2443.243
"Sum of all flows into detritus",3873.029
"Total system throughput",14257.63
"Sum of all production",5265.218
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.000642909
"Calculated total net primary production",3552.01
"Total primary production/total respiration",1.45381
"Net system production",1108.768
"Total primary production/total biomass",8.274026
"Total biomass/total throughput",0.03010995
"Total biomass (excluding detritus)",429.2965
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2003471
"Total market value",2.14144
"Total shadow value",0.07006323
"Total value",2.211503
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4983517
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.03144
