parameter,value
"Total consumption",6831.9
"Sum of all exports",1207.362
"Sum of all respiratory flows",2499.226
"Sum of all flows into detritus",3976.537
"Total system throughput",14515.02
"Sum of all production",5341.984
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006254216
"Calculated total net primary production",3651.328
"Total primary production/total respiration",1.460984
"Net system production",1152.102
"Total primary production/total biomass",8.504503
"Total biomass/total throughput",0.02957904
"Total biomass (excluding detritus)",429.3405
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2003084
"Total market value",2.14144
"Total shadow value",0.07190248
"Total value",2.213342
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5001911
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.03794
