parameter,value
"Total consumption",6773.903
"Sum of all exports",1220.207
"Sum of all respiratory flows",2373.79
"Sum of all flows into detritus",3949.035
"Total system throughput",14316.94
"Sum of all production",5319.526
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006453765
"Calculated total net primary production",3538.43
"Total primary production/total respiration",1.490625
"Net system production",1164.64
"Total primary production/total biomass",8.167645
"Total biomass/total throughput",0.03025963
"Total biomass (excluding detritus)",433.2252
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2003625
"Total market value",2.14144
"Total shadow value",0.07170573
"Total value",2.213146
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4999944
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.029532
