parameter,value
"Total consumption",6761.343
"Sum of all exports",1112.667
"Sum of all respiratory flows",2437.886
"Sum of all flows into detritus",3863.99
"Total system throughput",14175.89
"Sum of all production",5205.407
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006529575
"Calculated total net primary production",3497.348
"Total primary production/total respiration",1.434582
"Net system production",1059.462
"Total primary production/total biomass",8.124954
"Total biomass/total throughput",0.03036461
"Total biomass (excluding detritus)",430.4452
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2003196
"Total market value",2.14144
"Total shadow value",0.07253227
"Total value",2.213972
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5008208
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.031366
