parameter,value
"Total consumption",6746.366
"Sum of all exports",1246.148
"Sum of all respiratory flows",2404.574
"Sum of all flows into detritus",3968.09
"Total system throughput",14365.18
"Sum of all production",5328.944
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006349366
"Calculated total net primary production",3596.61
"Total primary production/total respiration",1.495737
"Net system production",1192.036
"Total primary production/total biomass",8.359256
"Total biomass/total throughput",0.02995124
"Total biomass (excluding detritus)",430.2549
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2005182
"Total market value",2.14144
"Total shadow value",0.07108395
"Total value",2.212524
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4993726
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.033132
