parameter,value
"Total consumption",6718.606
"Sum of all exports",1132.419
"Sum of all respiratory flows",2434.478
"Sum of all flows into detritus",3834.604
"Total system throughput",14120.11
"Sum of all production",5199.719
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006499032
"Calculated total net primary production",3513.784
"Total primary production/total respiration",1.443342
"Net system production",1079.306
"Total primary production/total biomass",8.210327
"Total biomass/total throughput",0.03030935
"Total biomass (excluding detritus)",427.9713
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2002574
"Total market value",2.14144
"Total shadow value",0.07149751
"Total value",2.212937
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.499786
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.033585
