parameter,value
"Total consumption",6691.961
"Sum of all exports",1113.315
"Sum of all respiratory flows",2386.437
"Sum of all flows into detritus",3819.298
"Total system throughput",14011.01
"Sum of all production",5162.157
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006632712
"Calculated total net primary production",3442.965
"Total primary production/total respiration",1.442722
"Net system production",1056.528
"Total primary production/total biomass",8.069785
"Total biomass/total throughput",0.03045097
"Total biomass (excluding detritus)",426.6489
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2003831
"Total market value",2.14144
"Total shadow value",0.06991707
"Total value",2.211357
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4982055
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.035837
