parameter,value
"Total consumption",6866.653
"Sum of all exports",1214.683
"Sum of all respiratory flows",2452.843
"Sum of all flows into detritus",3985.913
"Total system throughput",14520.09
"Sum of all production",5370.184
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006319709
"Calculated total net primary production",3613.488
"Total primary production/total respiration",1.473184
"Net system production",1160.645
"Total primary production/total biomass",8.351613
"Total biomass/total throughput",0.02979799
"Total biomass (excluding detritus)",432.6695
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2001918
"Total market value",2.14144
"Total shadow value",0.07272744
"Total value",2.214167
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.501016
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.031387
