parameter,value
"Total consumption",6753.674
"Sum of all exports",1203.306
"Sum of all respiratory flows",2404.333
"Sum of all flows into detritus",3913.711
"Total system throughput",14275.02
"Sum of all production",5290.921
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006430254
"Calculated total net primary production",3551.367
"Total primary production/total respiration",1.47707
"Net system production",1147.034
"Total primary production/total biomass",8.230227
"Total biomass/total throughput",0.03022783
"Total biomass (excluding detritus)",431.5029
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.20034
"Total market value",2.14144
"Total shadow value",0.06859741
"Total value",2.210037
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4968859
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.036778
