parameter,value
"Total consumption",6808.798
"Sum of all exports",1153.694
"Sum of all respiratory flows",2440.812
"Sum of all flows into detritus",3893.725
"Total system throughput",14297.03
"Sum of all production",5274.573
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006451621
"Calculated total net primary production",3539.605
"Total primary production/total respiration",1.450176
"Net system production",1098.794
"Total primary production/total biomass",8.22368
"Total biomass/total throughput",0.03010529
"Total biomass (excluding detritus)",430.4162
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2003848
"Total market value",2.14144
"Total shadow value",0.07102039
"Total value",2.21246
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4993089
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.034137
