parameter,value
"Total consumption",6803.931
"Sum of all exports",1187.335
"Sum of all respiratory flows",2447.917
"Sum of all flows into detritus",3956.263
"Total system throughput",14395.45
"Sum of all production",5305.044
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006376418
"Calculated total net primary production",3581.352
"Total primary production/total respiration",1.46302
"Net system production",1133.435
"Total primary production/total biomass",8.324238
"Total biomass/total throughput",0.02988666
"Total biomass (excluding detritus)",430.2318
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.1999896
"Total market value",2.14144
"Total shadow value",0.06917232
"Total value",2.210612
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.497461
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.031469
