parameter,value
"Total consumption",6763.757
"Sum of all exports",1220.053
"Sum of all respiratory flows",2420.605
"Sum of all flows into detritus",3930.076
"Total system throughput",14334.49
"Sum of all production",5313.104
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006369866
"Calculated total net primary production",3585.035
"Total primary production/total respiration",1.481049
"Net system production",1164.43
"Total primary production/total biomass",8.318666
"Total biomass/total throughput",0.03006474
"Total biomass (excluding detritus)",430.9628
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2002511
"Total market value",2.14144
"Total shadow value",0.07307497
"Total value",2.214515
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5013636
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.036232
