parameter,value
"Total consumption",6730.309
"Sum of all exports",1068.225
"Sum of all respiratory flows",2422.771
"Sum of all flows into detritus",3807.149
"Total system throughput",14028.46
"Sum of all production",5141.792
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006646109
"Calculated total net primary production",3436.025
"Total primary production/total respiration",1.418221
"Net system production",1013.254
"Total primary production/total biomass",8.00141
"Total biomass/total throughput",0.03061117
"Total biomass (excluding detritus)",429.4274
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2002971
"Total market value",2.14144
"Total shadow value",0.0706582
"Total value",2.212098
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4989468
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.031598
