parameter,value
"Total consumption",6693.929
"Sum of all exports",1050.413
"Sum of all respiratory flows",2383.27
"Sum of all flows into detritus",3786.075
"Total system throughput",13913.69
"Sum of all production",5102.593
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006757759
"Calculated total net primary production",3379.255
"Total primary production/total respiration",1.417907
"Net system production",995.9858
"Total primary production/total biomass",7.908617
"Total biomass/total throughput",0.03070989
"Total biomass (excluding detritus)",427.2878
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.1999938
"Total market value",2.14144
"Total shadow value",0.07418755
"Total value",2.215627
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5024761
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.038665
