GroupNo,Group,B,PB,QB,EE,GE,FishMort,PredMort,BioAccum,NetMig,OtherMort,NatMort
1,Transient_orca,0.0009857808,0.05052873,6.026622,0,0.008384255,0,0,0,0,0.05052873,1
2,Salmon_sharks,0.2173425,0.09931061,6.056006,0.5315321,0.0163987,0.05278678,0,0,0,0.04652384,0.4684679
3,Resident_orca,0.01532483,0.05009427,8.658268,0,0.005785715,0,0,0,0,0.05009427,1
4,Sleeper_sharks,0.1143088,0.07254947,3.647018,0,0.01989282,0,0,0,0,0.07254947,1
5,Halibut,0.6715955,0.3251533,1.739414,0.2510983,0.1869327,0.02552805,0.05611738,0,0,0.2435079,0.9214892
6,Pinnipeds,0.0754965,0.05920772,25.84566,0.771513,0.002290818,0.008739173,0.03694035,0,0,0.01352819,0.852398
7,Porpoise,0.01551806,0.1480338,29.48533,0.8888376,0.005020592,0.0002595634,0.1313185,0,0,0.01645579,0.9982466
8,Lingcod,0.07692934,0.5875115,3.29409,0.8077441,0.1783532,0.02064817,0.4539107,0,0,0.1129526,0.9648548
9,Arrowtooth_L,3.905066,0.255448,1.458495,0.140945,0.1751449,0.0003738456,0.03563027,0,0,0.2194439,0.9985365
10,Salmon_L,3.390289,1.564443,11.81127,0.6771894,0.1324535,0.5484843,0.5109403,0,0,0.505019,0.6494061
11,Pacific_cod,0.3033083,1.180089,3.978616,0.7080942,0.296608,0.2187619,0.6168525,0,0,0.3444749,0.8146226
12,Sablefish,0.4924196,0.5732585,6.46668,0.8394413,0.08864804,0.03799668,0.4432202,0,0,0.09204163,0.9337181
13,Arrowtooth_S,0.2391634,0.2086378,3.294151,0.9692261,0.06333584,0,0.2022172,0,0,0.006420595,1
14,Spiny_dogfish,0.1589404,0.09168188,3.112482,0.7328689,0.0294562,0,0.0671908,0,0,0.02449108,1
15,Avian_raptors,0.003218943,0.04871032,34.90992,0,0.001395315,0,0,0,0,0.04871032,1
16,Octopods,0.1528625,3.085018,11.95141,0.9778898,0.2581301,0.001511734,3.015296,0,0,0.06821025,0.99951
17,Seabirds,0.02197615,0.1702606,147.4014,0.6299686,0.001155082,0,0.1072588,0,0,0.06300176,1
