parameter,value
"Total consumption",6875.768
"Sum of all exports",1132.291
"Sum of all respiratory flows",2471.446
"Sum of all flows into detritus",3903.243
"Total system throughput",14382.75
"Sum of all production",5293.83
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006435619
"Calculated total net primary production",3548.407
"Total primary production/total respiration",1.435762
"Net system production",1076.961
"Total primary production/total biomass",8.199161
"Total biomass/total throughput",0.03009
"Total biomass (excluding detritus)",432.7768
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2003421
"Total market value",2.14144
"Total shadow value",0.07121576
"Total value",2.212656
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4995044
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.028683
